nm	Abs
466.80	0.029
466.60	0.029
466.40	0.029
466.20	0.028
466.00	0.029
465.80	0.028
465.60	0.028
465.40	0.028
465.20	0.028
465.00	0.028
464.80	0.028
464.60	0.026
464.40	0.028
464.20	0.027
464.00	0.026
463.80	0.027
463.60	0.026
463.40	0.028
463.20	0.025
463.00	0.026
462.80	0.027
462.60	0.024
462.40	0.026
462.20	0.025
462.00	0.024
461.80	0.026
461.60	0.024
461.40	0.025
461.20	0.025
461.00	0.023
460.80	0.025
460.60	0.023
460.40	0.024
460.20	0.025
460.00	0.023
459.80	0.023
459.60	0.023
459.40	0.022
459.20	0.023
459.00	0.022
458.80	0.022
458.60	0.023
458.40	0.021
458.20	0.023
458.00	0.022
457.80	0.021
457.60	0.022
457.40	0.021
457.20	0.021
457.00	0.021
456.80	0.021
456.60	0.021
456.40	0.020
456.20	0.020
456.00	0.021
455.80	0.019
455.60	0.020
455.40	0.020
455.20	0.019
455.00	0.021
454.80	0.018
454.60	0.020
454.40	0.019
454.20	0.018
454.00	0.021
453.80	0.018
453.60	0.019
453.40	0.019
453.20	0.018
453.00	0.019
452.80	0.018
452.60	0.018
452.40	0.018
452.20	0.017
452.00	0.018
451.80	0.018
451.60	0.017
451.40	0.018
451.20	0.017
451.00	0.017
450.80	0.017
450.60	0.016
450.40	0.017
450.20	0.017
450.00	0.016
449.80	0.017
449.60	0.016
449.40	0.016
449.20	0.017
449.00	0.015
448.80	0.016
448.60	0.016
448.40	0.015
448.20	0.016
448.00	0.015
447.80	0.016
447.60	0.016
447.40	0.014
447.20	0.015
447.00	0.016
446.80	0.014
446.60	0.015
446.40	0.014
446.20	0.015
446.00	0.014
445.80	0.013
445.60	0.015
445.40	0.013
445.20	0.014
445.00	0.014
444.80	0.014
444.60	0.014
444.40	0.013
444.20	0.014
444.00	0.013
443.80	0.013
443.60	0.014
443.40	0.014
443.20	0.013
443.00	0.012
442.80	0.014
442.60	0.013
442.40	0.013
442.20	0.012
442.00	0.013
441.80	0.013
441.60	0.012
441.40	0.014
441.20	0.013
441.00	0.012
440.80	0.012
440.60	0.012
440.40	0.012
440.20	0.011
440.00	0.012
439.80	0.012
439.60	0.011
439.40	0.012
439.20	0.012
439.00	0.012
438.80	0.011
438.60	0.012
438.40	0.012
438.20	0.011
438.00	0.011
437.80	0.011
437.60	0.011
437.40	0.012
437.20	0.011
437.00	0.011
436.80	0.012
436.60	0.010
436.40	0.011
436.20	0.011
436.00	0.010
435.80	0.011
435.60	0.010
435.40	0.011
435.20	0.011
435.00	0.009
434.80	0.011
434.60	0.010
434.40	0.011
434.20	0.011
434.00	0.010
433.80	0.011
433.60	0.011
433.40	0.009
433.20	0.010
433.00	0.011
432.80	0.009
432.60	0.011
432.40	0.009
432.20	0.010
432.00	0.011
431.80	0.009
431.60	0.011
431.40	0.010
431.20	0.008
431.00	0.010
430.80	0.010
430.60	0.010
430.40	0.010
430.20	0.009
430.00	0.010
429.80	0.010
429.60	0.008
429.40	0.010
429.20	0.010
429.00	0.009
428.80	0.010
428.60	0.009
428.40	0.010
428.20	0.010
428.00	0.009
427.80	0.010
427.60	0.009
427.40	0.009
427.20	0.010
427.00	0.009
426.80	0.009
426.60	0.010
426.40	0.009
426.20	0.009
426.00	0.010
425.80	0.010
425.60	0.009
425.40	0.009
425.20	0.010
425.00	0.009
424.80	0.009
424.60	0.009
424.40	0.009
424.20	0.010
424.00	0.009
423.80	0.010
423.60	0.010
423.40	0.009
423.20	0.010
423.00	0.010
422.80	0.010
422.60	0.010
422.40	0.010
422.20	0.010
422.00	0.010
421.80	0.010
421.60	0.010
421.40	0.010
421.20	0.010
421.00	0.012
420.80	0.009
420.60	0.010
420.40	0.011
420.20	0.010
420.00	0.011
419.80	0.011
419.60	0.010
419.40	0.012
419.20	0.011
419.00	0.010
418.80	0.012
418.60	0.011
418.40	0.011
418.20	0.012
418.00	0.011
417.80	0.012
417.60	0.012
417.40	0.012
417.20	0.012
417.00	0.012
416.80	0.012
416.60	0.013
416.40	0.012
416.20	0.013
416.00	0.013
415.80	0.014
415.60	0.013
415.40	0.013
415.20	0.014
415.00	0.013
414.80	0.014
414.60	0.014
414.40	0.013
414.20	0.015
414.00	0.015
413.80	0.014
413.60	0.016
413.40	0.014
413.20	0.016
413.00	0.017
412.80	0.014
412.60	0.017
412.40	0.017
412.20	0.015
412.00	0.017
411.80	0.016
411.60	0.018
411.40	0.018
411.20	0.017
411.00	0.019
410.80	0.018
410.60	0.019
410.40	0.019
410.20	0.019
410.00	0.020
409.80	0.020
409.60	0.020
409.40	0.021
409.20	0.020
409.00	0.022
408.80	0.022
408.60	0.021
408.40	0.022
408.20	0.022
408.00	0.022
407.80	0.023
407.60	0.023
407.40	0.024
407.20	0.025
407.00	0.024
406.80	0.026
406.60	0.025
406.40	0.026
406.20	0.027
406.00	0.026
405.80	0.027
405.60	0.028
405.40	0.028
405.20	0.028
405.00	0.028
404.80	0.029
404.60	0.031
404.40	0.030
404.20	0.029
404.00	0.032
403.80	0.031
403.60	0.031
403.40	0.032
403.20	0.033
403.00	0.033
402.80	0.034
402.60	0.034
402.40	0.035
402.20	0.035
402.00	0.036
401.80	0.035
401.60	0.037
401.40	0.037
401.20	0.037
401.00	0.039
400.80	0.038
400.60	0.040
400.40	0.040
400.20	0.038
400.00	0.041
